TH,TPR,FPR,Global
0.1,0.054918815663801336,0.0,Local threshold
0.1,0.9990448901623686,0.07782114484493954,Global threshold
0.12689610031679222,0.054918815663801336,0.0,Local threshold
0.10826367338740543,0.9990448901623686,0.07050129804583523,Global threshold
0.16102620275609392,0.08500477554918816,0.0,Local threshold
0.11721022975334802,0.9990448901623686,0.06326450427609018,Global threshold
0.20433597178569418,0.11986628462273162,0.0,Local threshold
0.12689610031679222,0.9990448901623686,0.05611966207456428,Global threshold
0.2592943797404667,0.15663801337153774,0.0,Local threshold
0.1373823795883263,0.9990448901623686,0.049170587727956606,Global threshold
0.32903445623126687,0.1886341929321872,0.0,Local threshold
0.14873521072935114,0.998567335243553,0.04242047558355021,Global threshold
0.41753189365604015,0.24832855778414517,0.0,Local threshold
0.16102620275609392,0.9980897803247374,0.03605345694544648,Global threshold
0.5298316906283709,0.3142311365807068,0.0,Local threshold
0.17433288221999882,0.9980897803247374,0.030167187573441466,Global threshold
0.6723357536499337,0.37774594078319007,2.2816766307485133e-07,Local threshold
0.18873918221350972,0.9980897803247374,0.024675648258555945,Global threshold
0.8531678524172808,0.43170964660936006,4.5633532614970265e-07,Local threshold
0.20433597178569418,0.9980897803247374,0.01973695919130079,Global threshold
1.0826367338740546,0.5119388729703916,6.84502989224554e-07,Local threshold
0.2212216291070449,0.9980897803247374,0.015364354096134339,Global threshold
1.373823795883263,0.5754536771728749,6.84502989224554e-07,Local threshold
0.23950266199874853,0.997134670487106,0.011605748182302313,Global threshold
1.743328822199988,0.6528175740210124,3.1943472830479185e-06,Local threshold
0.2592943797404667,0.9966571155682904,0.008553549353350027,Global threshold
2.2122162910704493,0.7196752626552053,7.3013652183952424e-06,Local threshold
0.2807216203941177,0.995702005730659,0.006006513730445461,Global threshold
2.807216203941177,0.7831900668576887,1.3461892121416227e-05,Local threshold
0.30391953823131973,0.9928366762177651,0.0040513450255570595,Global threshold
3.562247890262442,0.8419293218720153,2.1219592665961173e-05,Local threshold
0.32903445623126687,0.9885386819484241,0.0025999705207379307,Global threshold
4.520353656360243,0.8772683858643744,4.198285000577264e-05,Local threshold
0.3562247890262442,0.9828080229226361,0.001537621881461423,Global threshold
5.736152510448679,0.9192932187201528,8.214035870694647e-05,Local threshold
0.38566204211634714,0.9732569245463228,0.0008599639221291146,Global threshold
7.27895384398315,0.9527220630372493,0.0001720384179584379,Local threshold
0.41753189365604015,0.9522445081184336,0.0004396790867452385,Global threshold
9.23670857187386,0.9689589302769819,0.0003716851231489328,Local threshold
0.4520353656360243,0.9221585482330468,0.00020649173508274044,Global threshold
11.721022975334806,0.9785100286532952,0.000796533311794306,Local threshold
0.4893900918477494,0.8600764087870105,7.917417908697341e-05,Global threshold
14.873521072935118,0.9890162368672397,0.0017338460717057952,Local threshold
0.5298316906283709,0.7574021012416428,2.7608287232057008e-05,Global threshold
18.873918221350976,0.995702005730659,0.0038971036853184603,Local threshold
0.5736152510448679,0.6141356255969437,8.214035870694647e-06,Global threshold
23.95026619987486,0.997134670487106,0.008792212728926321,Local threshold
0.6210169418915616,0.38204393505253104,4.5633532614970265e-07,Global threshold
30.39195382313198,0.997134670487106,0.020160666541630786,Local threshold
0.6723357536499337,0.15234001910219674,0.0,Global threshold
38.56620421163472,0.998567335243553,0.0469233644143324,Local threshold
0.727895384398315,0.02387774594078319,0.0,Global threshold
48.93900918477494,0.9990448901623686,0.11022323467819917,Local threshold
0.7880462815669912,0.0004775549188156638,0.0,Global threshold
62.10169418915616,1.0,0.2595498434541664,Local threshold
0.8531678524172808,0.0,0.0,Global threshold
78.80462815669912,1.0,0.5918972643153533,Local threshold
0.9236708571873861,0.0,0.0,Global threshold
100.0,1.0,1.0,Local threshold
1.0,0.0,0.0,Global threshold
